Park,Restaurant,Item,Price,Details,Ratings,Review_Count,Image_URL,Meal
Universal Studios,LEAKY CAULDRON,Mini Pie Combination,$20.99 ,mini cottage pie and mini fisherman's pie served with garden salad,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,"Beef, Lamb & Guinness Stew",$19.99 ,"served in a warm, crusty bread bowl",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Hunter's Chicken,$18.99 ,"bacon wrapped chicken breast with BBQ gravy, Monterey & Cheddar cheese blend, English minted peas, pea tendrils and chips",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Bangers & Mash,$18.99 ,"roasted English sausage, creamy mashed potatoes, roasted tomatoes, sautéed onions and cabbage, minted peas & onion gravyrequest no sauce for soy protein-sensitive options.",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Vegan Curry,$19.99 ,plant based Chick`n and potato curry with pita and served with garden salad,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Shepherd's Pasty Pie,$19.99 ,"meatless beef crumbles and vegetable stew hand pie; served with creamy stone ground mustard dipping sauce, apple beet salad, and chips",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Ploughman’s,$27.99 ,"Serves 2


a feast of English cheese, crusty bread, field green salad, roasted tomatoes, cornichon pickles, apple beet salad, Branston® pickle & scotch eggs
(request no scotch egg for egg-sensitive options.)(request no scotch egg sauce for fish-sensitive options.)",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Soup & Salad,$14.99 ,pumpkin soup served with side garden salad,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Scotch Eggs,$15.99 ,"hard-boiled eggs wrapped in pork sausage, dusted with bread crumbs and fried, served warm with apple beet salad and mustard sauce",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Banger,$16.99 ,"roasted English sausage, mustard aioli, roasted tomatoes, sautéed cabbage and onions on a crusted baguette
(request no mustard aioli for egg-sensitive options.)",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Specialty Chicken,$17.99 ,"grilled chicken breast, apple butter mayo, Colby cheese, smoky apple bacon, roasted tomatoes on a housemade specialty bun",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Chips,$5.49 ,,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Scotch Egg,$5.49 ,"hard-boiled egg wrapped in pork sausage, dusted with bread crumbs and fried",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Mashed Potatoes with Gravy,$5.49 ,,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Add Banger (1 each),$5.49 ,,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Side Garden Salad,$6.99 ,,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Bacon,$2.99 ,,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Macaroni Cheese,$9.99 ,served with grapes and applesauce,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Fish & Chips,$9.99 ,"served with chips and tartar sauce
(request no tartar sauce for egg-sensitive options.)",,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Mini Pie,$9.99 ,served with grapes and applesauce,,,,Lunch/Dinner
Universal Studios,LEAKY CAULDRON,Sticky Toffee Pudding,$8.49 ,,,,,Dessert
Universal Studios,LEAKY CAULDRON,Cranachan,$7.49 ,,,,,Dessert
Universal Studios,LEAKY CAULDRON,Butterbeer™ Potted Cream,$7.49 ,,,,,Dessert
Universal Studios,LEAKY CAULDRON,Chocolate Potted Cream,$6.49 ,,,,,Dessert
Universal Studios,LEAKY CAULDRON,Butterbeer™ Ice Cream,$7.49 ,,,,,Dessert
Universal Studios,LEAKY CAULDRON,Cup of Ice Cream,$7.49 ,"strawberry and peanut butter, vanilla or chocolate",,,,Dessert
Universal Studios,LEAKY CAULDRON,Holiday Souvenir Stainless Butterbeer™,$30.00 ,"a non-alcoholic sweet drink reminiscent of shortbread and butterscotch, served in a holiday themed stainless souvenir cup",,,,Beverage
Universal Studios,LEAKY CAULDRON,Butterbeer™ Stainless Souvenir,$37.99 ,"a non-alcoholic sweet drink reminiscent of shortbread and butterscotch, served in a stainless souvenir cup",,,,Beverage
Universal Studios,LEAKY CAULDRON,Butterbeer™ Souvenirs,,"a non-alcoholic sweet drink reminiscent of shortbread and butterscotch, served in a souvenir cup",,,,Beverage
Universal Studios,LEAKY CAULDRON,Butterbeer™,$9.49 ,a non-alcoholic sweet drink reminiscent of shortbread and butterscotch,,,,Beverage
Universal Studios,LEAKY CAULDRON,Frozen Butterbeer™ Souvenirs,,"a non-alcoholic sweet drink reminiscent of shortbread and butterscotch, served in a souvenir cup",,,,Beverage
Universal Studios,LEAKY CAULDRON,Frozen Butterbeer™,$9.49 ,a non-alcoholic sweet drink reminiscent of shortbread and butterscotch,,,,Beverage
Universal Studios,LEAKY CAULDRON,Hot Butterbeer™,$9.49 ,a non-alcoholic sweet drink reminiscent of shortbread and butterscotch,,,,Beverage
Universal Studios,LEAKY CAULDRON,Pumpkin Juice™,$5.99 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Gillywater,$6.00 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Tongue Tying Lemon Squash,$6.99 ,sweet and tart lemon flavored beverage served with squashed lemon,,,,Beverage
Universal Studios,LEAKY CAULDRON,Otter's Fizzy Orange Juice,$6.99 ,effervescent fresh orange beverage with notes of vanilla and cinnamon,,,,Beverage
Universal Studios,LEAKY CAULDRON,Fishy Green Ale,$6.99 ,smooth and creamy with notes of mint and cinnamon and popping blueberry fish eggs,,,,Beverage
Universal Studios,LEAKY CAULDRON,Peachtree Fizzing Tea,$6.99 ,fizzy but smooth with flavors of fresh peach nectar and ginger,,,,Beverage
Universal Studios,LEAKY CAULDRON,Fountain Beverages,$4.79 ,"iced tea, lemonade, cider",,,,Beverage
Universal Studios,LEAKY CAULDRON,Coffee,$4.79 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Decaf Coffee,$4.79 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Hot Tea,$4.79 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,2% Milk,$3.29 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Chocolate Milk,$3.29 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Juice,$3.79 ,"orange, apple",,,,Beverage
Universal Studios,LEAKY CAULDRON,Courtesy Cup of Water,$0 ,,,,,Beverage
Universal Studios,LEAKY CAULDRON,Dragon's Scale,$13.05 ,"unique lager with a light crisp, malty finish",,,,Beverage
Universal Studios,LEAKY CAULDRON,Wizard's Brew,$13.05 ,"full bodied, sweet stout with a smooth, light sweetness and clean, dry finish",,,,Beverage
Universal Studios,LEAKY CAULDRON,Daisyroot Ale,$13.05 ,refreshing traditional English Mild with a light malty flavor profile and a clean finish,,,,Beverage
Universal Studios,LEAKY CAULDRON,Dark Forest Ale,$13.05 ,traditional brown ale with roasty caramel/toffee notes and warming finish,,,,Beverage
Universal Studios,LEAKY CAULDRON,Draught Beer,$13.05 ,"Heineken, Stella Artois, Strongbow, Yuengling",,,,Beverage
Universal Studios,LEAKY CAULDRON,Wine by the Glass,$11.00 ,"chardonnay, cabernet sauvignon",,,,Beverage
Universal Studios,LEAKY CAULDRON,Fire Whisky,$12.05 ,"Fire Whisky, Fire and Strongbow Cocktail",,,,Beverage
Universal Studios,KRUSTY BURGER,Krusty Burger Combo,$18.99 ,"1/3 lb. burger with secret sauce, cheddar cheese sauce, a giant tomato slice, iceberg lettuce, on a specialty bun, served with Kurly fries and a shake",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Krusty Burger Platter,$13.99 ,"1/3 lb. burger with secret sauce, cheddar cheese sauce, a giant tomato slice, iceberg lettuce, on a specialty bun, served with Kurly fries",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Clogger Burger Combo,$22.99 ,"2/3 lb. burger topped with Applewood smoked bacon, secret sauce, cheddar cheese sauce, a giant tomato slice & iceberg lettuce, on a specialty bun, served with Kurly fries and a shake",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Clogger Burger Platter,$17.99 ,"2/3 lb. burger topped with Applewood smoked bacon, secret sauce, cheddar cheese sauce, a giant tomato slice & iceberg lettuce, on a specialty bun, served with Kurly fries",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Mother Nature Burger Combo,$19.49 ,"1/3 lb. black bean burger topped with guacamole & tomato slice, on a specialty bun, served with Kurly fries and a shake",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Mother Nature Burger Platter,$13.99 ,"1/3 lb. black bean burger topped with guacamole & tomato slice, on a specialty bun, served with Kurly fries",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,The Ribwich Combo,$21.49 ,"boneless rib topped with coleslaw on a specialty bun, served with Kurly fries and a shake",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,The Ribwich Platter,$16.49 ,"boneless rib topped with coleslaw on a specialty bun, served with Kurly fries",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Sideshow Bob Foot-Long Combo,$19.99 ,"foot-long all-beef hot dog topped with homemade chili, cheddar cheese sauce, coleslaw & diced onions, served with Kurly fries and a shake",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Sideshow Bob Foot-Long Platter,$14.49 ,"foot-long all-beef hot dog topped with homemade chili, cheddar cheese sauce, coleslaw & diced onions, served with Kurly fries",,,,Lunch/Dinner
Universal Studios,KRUSTY BURGER,Buzz Cola,$4.99 ,zero calorie cherry flavored cola,,,,Beverage
Universal Studios,KRUSTY BURGER,Fountain Soda,$4.29 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Fanta Orange, Barq’s Root Beer, HiC Lemonade, Gold Peak Iced Tea",,,,Beverage
Universal Studios,KRUSTY BURGER,Milkshake,$7.49 ,"""100% Mammal Milk"" chocolate, vanilla or swirled",,,,Beverage
Universal Studios,KRUSTY BURGER,Coca-Cola Freestyle® Souvenir Cups,,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $14.99 each, 2 for $16.99 each, or 1 for $18.99 at participating Coca-Cola Freestyle® locations. Add an additional day to your previously purchased Coca-Cola Freestyle® souvenir cup for $11.99*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,RICHTER BURGER,Aftershock Burger Combo,$21.99 ,"Angus patty, jalapeño bacon jam, crispy onion straws, pepper jack and American cheese, lettuce and BBQ sauce, served with fries and a single serve Coca-Cola Freestyle® cup
Big taste, bigger aftershocks.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Aftershock Burger Platter,$17.49 ,"Angus patty, jalapeño bacon jam, crispy onion straws, pepper jack and American cheese, lettuce and BBQ sauce, served with fries
Big taste, bigger aftershocks.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,The Big One Burger Combo,$20.49 ,"Angus beef, bacon, melty American cheese, lettuce and tomato, served with fries and a single serve Coca-Cola Freestyle® cup
Big flavor. Big Impact.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,The Big One Burger Platter,$15.99 ,"Angus beef, bacon, melty American cheese, lettuce and tomato, served with fries
Big flavor. Big Impact.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Tremor Crispy Chicken Sandwich Combo,$18.99 ,"Flamin' Hot® Cheetos® crusted fried chicken breast, pepper jack cheese, ranch, lettuce and pickles, served with fries and a single serve Coca-Cola Freestyle® cup
One bite and the ground shakes.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Tremor Crispy Chicken Sandwich Platter,$14.49 ,"Flamin' Hot® Cheetos® crusted fried chicken breast, pepper jack cheese, ranch, lettuce and pickles, served with fries
One bite and the ground shakes.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Alcatraz Cobb Salad Combo,$18.49 ,"spicy tofu, fire roasted corn, grape tomatoes, cucumber, avocado, romaine lettuce paired with raspberry vinaigrette on the side, served with a single serve Coca-Cola Freestyle® cup
A fresh shake-up from the inside out.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Alcatraz Cobb Salad,$13.99 ,"spicy tofu, fire roasted corn, grape tomatoes, cucumber, avocado, romaine lettuce paired with raspberry vinaigrette on the side 
A fresh shake-up from the inside out.",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,Golden Gate Fries,$7.49 ,"French fries, Tostitos® nacho cheese sauce, bacon bits",,,,Lunch/Dinner
Universal Studios,RICHTER BURGER,French Fries,$5.49 ,,,,,Side
Universal Studios,RICHTER BURGER,Poncho,$13.00 ,rain poncho,,,,Other
Universal Studios,RICHTER BURGER,Cap'n Crunch® Shake,$9.49 ,"Cap'n Crunch® with Crunch Berries®, vanilla ice cream",,,,Beverage
Universal Studios,RICHTER BURGER,The Frisco Chocolate Shake,$7.99 ,,,,,Beverage
Universal Studios,RICHTER BURGER,Freshly Baked Giant Chocolate Chip Cookie,$5.29 ,,,,,Beverage
Universal Studios,RICHTER BURGER,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,RICHTER BURGER,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,,Beverage
Universal Studios,RICHTER BURGER,Single Serve Coca-Cola Freestyle® Cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola Freestyle® single-serve cup.,,,,Beverage
Universal Studios,RICHTER BURGER,Premium Bottled Water,$6.00 ,,,,,Beverage
Universal Studios,RICHTER BURGER,Minute Maid Orange Juice,$4.29 ,,,,,Beverage
Universal Studios,RICHTER BURGER,Beer,,"Modelo Especial $11.75
Miller Lite $10.75Mich Ultra $10.75",,,,Beverage
Universal Studios,RICHTER BURGER,High Noon Pineapple Seltzer,$13.00 ,,,,,Beverage
Universal Studios,FLYING DUTCHMAN,Basket O' Bait Combo,$23.99 ,"fresh caught, hand cut cod, coconut-crusted shrimp, and fried calamari, with a hushpuppy & homemade tartar sauce or cocktail sauce, served with tater tots and a shake",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Basket O' Bait,$18.99 ,"fresh caught, hand cut cod, coconut-crusted shrimp, and fried calamari, with a hushpuppy & homemade tartar sauce or cocktail sauce, served with tater tots",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Battered and Plattered Fish Combo,$21.99 ,"fresh caught, hand cut cod fried in a batter, served with tater tots and a shake",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Battered and Plattered Fish Platter,$16.99 ,"fresh caught, hand cut cod fried in a batter, served with tater tots",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Basket O' Shrimp Combo,$21.99 ,"coconut-crusted shrimp, deep-fried, served with tater tots and a shake",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Basket O' Shrimp,$16.99 ,"coconut-crusted shrimp, deep-fried, served with tater tots",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Basket O' Calamari Combo,$20.99 ,"fresh calamari, breaded and deep fried, served with tater tots and a shake
(Request no tartar sauce for egg-sensitive options.)",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Basket O' Calamari,$15.99 ,"fresh calamari, breaded and deep fried, served with tater tots
(Request no tartar sauce for egg-sensitive options.)",,,,Lunch/Dinner
Universal Studios,FLYING DUTCHMAN,Fountain Soda,$4.29 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Fanta Orange, Barq’s Root Beer, HiC Lemonade, Gold Peak Iced Tea",,,,Beverage
Universal Studios,FLYING DUTCHMAN,Buzz Cola,$4.99 ,zero calorie cherry flavored cola,,,,Beverage
Universal Studios,FLYING DUTCHMAN,Milkshakes - $7.49,,"""100% Mammal Milk"" chocolate, vanilla or swirled",,,,Beverage
Universal Studios,MEL'S,Mel's Famous Burger Combo,$18.49 ,"beef patty with cheddar cheese, pickles, secret sauce, lettuce, and tomato on a toasted sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Mel's Famous Burger Platter,$13.99 ,"beef patty with cheddar cheese, pickles, secret sauce, lettuce, and tomato on a toasted sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Big Bopper Burger Combo,$19.99 ,"beef patty with cheddar cheese, bacon strips and onion rings topped with barbecue sauce",,,,Lunch/Dinner
Universal Studios,MEL'S,Big Bopper Burger Platter,$15.49 ,"beef patty with cheddar cheese, bacon strips and onion rings topped with barbecue",,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Chicken Fingers Combo,$17.49 ,flash fried chicken fingers served with choice of dipping sauce,,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Chicken Fingers Platter,$12.99 ,flash fried chicken fingers served with choice of dipping sauce,,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Buffalo Bacon Sandwich Combo,$20.49 ,"crispy chicken breast tossed in Buffalo sauce, bacon, lettuce and tomato, sesame bun, avocado ranch dressing",,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Buffalo Bacon Sandwich Platter,$15.99 ,"crispy chicken breast tossed in Buffalo sauce, bacon, lettuce and tomato, sesame bun, avocado ranch dressing",,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Chicken Sandwich Combo,$17.99 ,"hand breaded chicken breast, lettuce, tomato, and avocado ranch on a sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Crispy Chicken Sandwich Platter,$13.49 ,"hand breaded chicken breast, lettuce, tomato, and avocado ranch on a sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Grilled Chicken Sandwich Combo,$17.99 ,"grilled chicken breast, lettuce, tomato, and avocado ranch on a sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Grilled Chicken Sandwich Platter,$13.49 ,"grilled chicken breast, lettuce, tomato, and avocado ranch on a sesame seed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Chili Cheese Hot Dog Combo,$16.49 ,"1/4 lb. 100% beef dog sliced and grilled with chopped onions, chili and cheese sauce on a poppyseed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Chili Cheese Hot Dog Platter,$11.99 ,"1/4 lb. 100% beef dog sliced and grilled with chopped onions, chili and cheese sauce on a poppyseed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Vegan Field Roast Chili Dog Combo,$16.49 ,"three bean chili with lentils, hominy, chopped onions and vegan cheddar cheese on a poppyseed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,Vegan Field Roast Chili Dog Platter,$11.99 ,"three bean chili with lentils, hominy, chopped onions and vegan cheddar cheese on a poppyseed bun",,,,Lunch/Dinner
Universal Studios,MEL'S,California Cobb Crispy Chicken Salad Combo,$18.49 ,"lettuce, applewood smoked bacon, crispy chicken breast, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing with a single serve Coca-Cola Freestyle® cup",,,,Lunch/Dinner
Universal Studios,MEL'S,California Cobb Crispy Chicken Salad,$13.99 ,"lettuce, applewood smoked bacon, crispy chicken breast, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing",,,,Lunch/Dinner
Universal Studios,MEL'S,California Cobb Grilled Chicken Salad Combo,$18.49 ,"lettuce, applewood smoked bacon, grilled chicken breast, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing with a single serve Coca-Cola Freestyle® cup",,,,Lunch/Dinner
Universal Studios,MEL'S,California Cobb Grilled Chicken Salad,$13.99 ,"lettuce, applewood smoked bacon, grilled chicken breast, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing",,,,Lunch/Dinner
Universal Studios,MEL'S,Vegetarian California Cobb Salad Combo,$18.49 ,"lettuce, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing with a single serve Coca-Cola Freestyle® cup",,,,Lunch/Dinner
Universal Studios,MEL'S,Vegetarian California Cobb Salad,$13.99 ,"lettuce, green onions, egg, tomato, blue cheese crumbles, diced cucumbers and avocado ranch dressing",,,,Lunch/Dinner
Universal Studios,MEL'S,Onion Rings,$6.49 ,,,,,Side
Universal Studios,MEL'S,French Fries,$5.49 ,,,,,Side
Universal Studios,MEL'S,Chili Cheese Fries,$7.49 ,,,,,Side
Universal Studios,MEL'S,Vegan Chili Cheese Fries,$7.49 ,,,,,Side
Universal Studios,MEL'S,Cookies and Cream Cake,$7.49 ,a cookies and cream cake with chocolate ganache and vanilla frosting,,,,Dessert
Universal Studios,MEL'S,Strawberry Lemonade Pie,$5.99 ,,,,,Dessert
Universal Studios,MEL'S,Apple Pie,$6.49 ,,,,,Dessert
Universal Studios,MEL'S,Chocolate Milkshake,$7.99 ,,,,,Beverage
Universal Studios,MEL'S,Vanilla Milkshake,$7.99 ,,,,,Beverage
Universal Studios,MEL'S,Strawberry Milkshake,$7.99 ,,,,,Beverage
Universal Studios,MEL'S,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,,Beverage
Universal Studios,MEL'S,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,,Beverage
Universal Studios,MEL'S,Single Serve Coca-Cola Freestyle® Cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola Freestyle® single-serve cup.,,,,Beverage
Universal Studios,MEL'S,Premium Bottled Water,$6.00 ,,,,,Beverage
Universal Studios,MEL'S,Minute Maid Juice,$4.29 ,"apple, orange",,,,Beverage
Universal Studios,MEL'S,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,,Beverage
Universal Studios,MEL'S,Milk,$4.49 ,2% or chocolate,,,,Beverage
Universal Studios,MEL'S,Hot Drinks,$4.79 ,"coffee, decaf, hot cocoa, hot tea",,,,Beverage
Universal Studios,MEL'S,Canned Beer,$10.75 ,"Miller Lite, Sierra Nevada Hazy Little Thing 10.75",,,,Beverage
Universal Studios,MEL'S,High Noon Pineapple Seltzer,$13.00 ,,,,,Beverage
Universal Studios,MEL'S,Nütrl Orange Vodka Seltzer,$13.00 ,,,,,Beverage
Islands of Adventure,3 BROOMSTICKS,Traditional English Breakfast,$19.99 ,"fresh scrambled eggs, sausage links, black pudding, English bacon, baked beans, grilled tomato, sautéed mushrooms and breakfast potatoes",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,American Breakfast,$19.99 ,"fresh scrambled eggs, breakfast potatoes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Pancake Breakfast,$19.99 ,"three fluffy buttermilk pancakes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Continental Breakfast,$19.99 ,a colorful array of fresh fruit served with croissants accompanied with assorted jams,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Porridge Breakfast,$19.99 ,old fashioned steamed oats with fresh fruit and butter croissant,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Child Traditional English Breakfast,$13.99 ,"fresh scrambled eggs, sausage link, English bacon, baked beans, grilled tomato, sautéed mushrooms and breakfast potatoes",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Child American Breakfast,$13.99 ,"fresh scrambled eggs, breakfast potatoes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Child Pancake Breakfast,$13.99 ,"two fluffy buttermilk pancakes, crisp bacon, and link sausage with butter croissant",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Child Continental Breakfast,$13.99 ,a colorful array of fresh fruit served with croissants accompanied with assorted jams,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Child Porridge Breakfast,$13.99 ,old fashioned steamed oats with fresh fruit and butter croissant,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Bacon,$2.99 ,,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Blood Sausage,$5.99 ,,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Sausage Links,$3.29 ,,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,English Bacon,$5.99 ,,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Scrambled Eggs,$3.49 ,,,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Fresh Brewed Coffee,$4.29 ,,,,,Beverage
Islands of Adventure,3 BROOMSTICKS,Butterbeer™ Waffle,$19.99 ,"Butterbeer™ waffle served with Butterbeer™ syrup, Butterbeer™ cream, fresh strawberries and a butter barrel",,,,Breakfast
Islands of Adventure,3 BROOMSTICKS,Spareribs Platter,$22.99 ,"served with corn on the cob and roasted potatoes
(Request no BBQ sauce for gluten-sensitive options)",,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Chicken and Ribs Platter,$21.49 ,"served with corn on the cob and roasted potatoes
(Request no BBQ sauce for gluten-sensitive options)",,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Rotisserie Smoked Chicken,$18.99 ,served with corn on the cob and roasted potatoes,,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Shepherd's Pie,$19.99 ,"ground beef, lamb & vegetables crowned with potatoes, served with roasted root vegetables and sautéed broccoli",,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Fish and Chips,$19.99 ,"fresh north Atlantic cod battered & fried with chips and tartar sauce
(Request no tartar sauce for egg-sensitive options)",,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Rotisserie Smoked Chicken Salad,$15.99 ,"mixed greens, Roma tomatoes, cucumbers, farro, dried cranberries, corn, sharp cheddar cheese, rotisserie smoked chicken, mustard ale dressing",,,,Lunch/Dinner
Islands of Adventure,3 BROOMSTICKS,Vegan Shepherd's Pie,$19.99 ,"seasoned Beyond® meat, mushrooms, peas and carrots, topped with mashed potatoes, served with roasted root vegetables and sautéed broccoli",,,,Lunch/Dinner
